ParticipantID,SceneName,D0_Dis,D0_Den,D1_Dis,D1_Den,Dis(comparison),Den(comparison),Position,SelectedDoor,ReactTime
10,Dis_den_6_3I6_7,6,3,6,7,4,3,0,0,1.118
10,5Dis_den_5.6_7I6_7,5.6,7,6,7,5,2,0,1,1.94
10,2Dis_den_4.6_7I6_3,4.6,7,6,3,7,1,0,1,1.807
10,5Dis_den_4.6_7I6_3,4.6,7,6,3,7,1,0,1,1.418
10,3Dis_den_4.6_7I5.6_7,4.6,7,5.6,7,6,2,0,0,1.607
10,4Dis_den_6_7I5.6_3,6,7,5.6,3,3,1,0,1,1.022
10,2Dis_den_4.6_7I5.6_7,4.6,7,5.6,7,6,2,0,0,1.429
10,4Dis_den_5.6_7I6_7,5.6,7,6,7,5,2,0,1,0.994
10,5Dis_den_4.6_3I6_3,4.6,3,6,3,7,2,0,0,1.295
10,4Dis_den_V_5.6_7I6_7,5.6,7,6,7,5,2,1,0,1.652
10,4Dis_den_4.6_7I6_3,4.6,7,6,3,7,1,0,1,1.434
10,3Dis_den_V_5.6_7I6_3,5.6,7,6,3,5,1,1,1,1.368
10,3Dis_den_5.6_7I6_7,5.6,7,6,7,5,2,0,0,1.805
10,Dis_den_4.6_3I6_3,4.6,3,6,3,7,2,0,1,1.974
10,3Dis_den_V_4.6_3I4.6_7,4.6,3,4.6,7,4,3,1,0,1.858
10,3Dis_den_5.6_7I6_3,5.6,7,6,3,5,1,0,1,1.862
10,5Dis_den_V_4.6_3I6_3,4.6,3,6,3,7,2,1,1,1.53
10,5Dis_den_V_6_7I4.6_3,6,7,4.6,3,1,1,1,1,1.881
10,3Dis_den_V_5.6_7I6_7,5.6,7,6,7,5,2,1,0,1.711
10,3Dis_den_5.6_7I4.6_3,5.6,7,4.6,3,2,1,0,1,1.958
10,2Dis_den_5.6_7I6_3,5.6,7,6,3,5,1,0,1,1.231
10,3Dis_den_4.6_3I5.6_3,4.6,3,5.6,3,6,2,0,0,1.08
10,Dis_den_5.6_7I6_7,5.6,7,6,7,5,2,0,0,1.442
10,2Dis_den_6_3I6_7,6,3,6,7,4,3,0,1,1.286
10,2Dis_den_V_6_7I4.6_3,6,7,4.6,3,1,1,1,1,1.149
10,4Dis_den_V_5.6_7I5.6_3,5.6,7,5.6,3,4,1,1,1,1.058
10,3Dis_den_5.6_3I6_3,5.6,3,6,3,5,2,0,1,1.962
10,Dis_den_4.6_3I4.6_7,4.6,3,4.6,7,4,3,0,0,1.515
10,Dis_den_4.6_7I6_3,4.6,7,6,3,7,1,0,1,1.654
10,Dis_den_V_6_7I5.6_3,6,7,5.6,3,3,1,1,1,1.759
10,4Dis_den_5.6_7I4.6_3,5.6,7,4.6,3,2,1,0,1,1.793
10,Dis_den_V_6_7I4.6_3,6,7,4.6,3,1,1,1,1,1.15
10,Dis_den_V_5.6_7I4.6_3,5.6,7,4.6,3,2,1,1,1,1.259
10,Dis_den_V_5.6_3I6_3,5.6,3,6,3,5,2,1,1,1.021
10,Dis_den_V_6_3I6_7,6,3,6,7,4,3,1,0,1.325
10,5Dis_den_4.6_3I4.6_7,4.6,3,4.6,7,4,3,0,0,1.551
